from_title,to_title,relation,confidence,n_moves,share_of_moves,years,from_last_year,to_first_year,from_family,from_level,to_family,to_level,source
AV IT ENGINEER 4,AV IT ENGR 4,rename,high,3,1.0,2012,2011,2012,AV IT ENGINEER,4,AV IT ENGR,4,claude
AV IT ENGR 3,AV IT ENGR 4,promotion,medium,3,0.13,2017|2019|2024,2025,2012,AV IT ENGR,3,AV IT ENGR,4,claude
AV IT SPECIALIST 3,AV IT SPEC 3,rename,high,3,1.0,2012,2011,2012,AV IT SPECIALIST,3,AV IT SPEC,3,claude
AV-IT MANAGER 1,AV IT MGR 1,rename,high,3,0.75,2012,2011,2012,AV-IT MANAGER,1,AV IT MGR,1,claude
BEH HEALTH COUNSELOR 1,BEH HEALTH COUNSELOR 1 HX,variant,high,3,0.6,2024,2023,2024,BEH HEALTH COUNSELOR,1,BEH HEALTH COUNSELOR,1,claude
BENEFITS ANALYST 3,BENEFITS ANL 3,rename,high,3,0.75,2012,2011,2012,BENEFITS ANALYST,3,BENEFITS ANL,3,claude
BENEFITS PRG STRAT ANL 3,BENEFITS PRG STRAT ANL 4,promotion,high,3,0.75,2016|2022|2023,2025,2013,BENEFITS PRG STRAT ANL,3,BENEFITS PRG STRAT ANL,4,claude
"BILLER PATIENT II, PER DIEM",PATIENT BILLER 2 PD,rename,high,3,0.75,2012,2011,2012,"BILLER PATIENT, PER DIEM",2,PATIENT BILLER,2,claude
"BILLER, PATIENT II","BILLER, PATIENT III",promotion,medium,3,0.038,2011,2011,2010,"BILLER, PATIENT",2,"BILLER, PATIENT",3,claude
BIOMEDICAL EQUIPMENT TECH II,BIOMEDICAL EQUIPMENT TECH III,promotion,medium,3,0.094,2011,2011,2010,BIOMEDICAL EQUIPMENT TECH,2,BIOMEDICAL EQUIPMENT TECH,3,claude
BLDG MAINT SUPV,FAC SUPV 1,rename,medium,3,0.375,2018|2021,2020,2012,BLDG MAINT SUPV,1,FAC SUPV,1,claude
"BOOKBINDER, LIBRARY, SR",LIBRARY BOOKBINDER SR,rename,medium,3,0.429,2012,2011,2012,"BOOKBINDER, LIBRARY",2,LIBRARY BOOKBINDER,2,claude
BUS DEV HC PROFL 3 GF,BUS DEV HC PROFL 4,promotion,high,3,1.0,2018|2022,2024,2017,BUS DEV HC PROFL,3,BUS DEV HC PROFL,4,claude
BUS INTEL MGR 1,BUS INTEL MGR 2,promotion,high,3,0.429,2023|2024|2025,2025,2017,BUS INTEL MGR,1,BUS INTEL MGR,2,claude
BUS SYS ANL 1 NEX,BUS SYS ANL 1,variant,high,3,0.214,2019,2018,2019,BUS SYS ANL,1,BUS SYS ANL,1,claude
BUS SYS ANL 1 NEX,BUS SYS ANL 2,promotion,high,3,0.214,2019,2018,2019,BUS SYS ANL,1,BUS SYS ANL,2,claude
BUS SYS ANL 1 NEX,BUS SYS ANL 2 NEX,promotion,high,3,0.214,2015|2018,2018,2012,BUS SYS ANL,1,BUS SYS ANL,2,claude
BUS SYS ANL 2 EX,BUS SYS ANL 3,promotion,high,3,0.75,2014|2015|2018,2018,2012,BUS SYS ANL,2,BUS SYS ANL,3,claude
BUSINESS SYSTEMS ANALYST II,BUS SYS ANL 2 EX,rename,high,3,1.0,2012,2011,2012,BUSINESS SYSTEMS ANALYST,2,BUS SYS ANL,2,claude
BUYER III,BUYER 4,promotion,medium,3,0.052,2012,2011,2012,BUYER,3,BUYER,4,claude
CARDIOVASCULAR MGR 1,CARDIOVASCULAR MGR 2,promotion,high,3,1.0,2021|2024|2025,2025,2017,CARDIOVASCULAR MGR,1,CARDIOVASCULAR MGR,2,claude
CARDIOVASCULAR TCHN,CARDIOVASCULAR TCHN PD,variant,high,3,0.188,2019|2023|2024,2025,2012,CARDIOVASCULAR TCHN,1,CARDIOVASCULAR TCHN,1,claude
CAREER SVC MGR 1,CAREER SVC MGR 2,promotion,high,3,0.5,2013|2020|2024,2025,2012,CAREER SVC MGR,1,CAREER SVC MGR,2,claude
CART CAPTIONIST PD,CART CAPTIONIST,variant,high,3,1.0,2018|2024,2023,2010,CART CAPTIONIST,1,CART CAPTIONIST,1,claude
CEMENT MASON,CEMENT MASON LD,promotion,high,3,0.75,2015|2017|2024,2025,2012,CEMENT MASON,1,CEMENT MASON,3,claude
CERT OCCUP THERAPY ASST III,OCCUPATIONAL THER CERT AST 3,rename,high,3,1.0,2012,2011,2012,CERT OCCUP THERAPY ASST,3,OCCUPATIONAL THER CERT AST,3,claude
CERT PHLEBOTOMIST TECH II,CERT PHLEBOTOMIST TECH III,promotion,medium,3,0.023,2011,2011,2010,CERT PHLEBOTOMIST TECH,2,CERT PHLEBOTOMIST TECH,3,claude
CFO HEALTH SYS AND CAMPUS,VC CFO HEALTH AND CAMPUS,rename,high,3,0.75,2022,2021,2022,CFO HEALTH SYS AND CAMPUS,1,VC CFO HEALTH AND CAMPUS,1,claude
CHIEF HEALTH SCIENCE COUNSEL,HS COUNSEL CHF,rename,high,3,1.0,2012,2011,2012,CHIEF HEALTH SCIENCE COUNSEL,1,HS COUNSEL CHF,1,claude
CHIEF MEDICAL OFFICER - MC,CMO MED CTR,rename,high,3,1.0,2012,2011,2012,CHIEF MEDICAL OFFICER - MC,1,CMO MED CTR,1,claude
CHILD DEVELOPMENT SUPVR,CHILD DEV SUPV,rename,high,3,1.0,2012,2011,2012,CHILD DEVELOPMENT SUPVR,1,CHILD DEV SUPV,1,claude
CHILD LIFE SPEC 1 NEX,CHILD LIFE SPEC 1 PD,variant,high,3,0.125,2017|2018,2025,2012,CHILD LIFE SPEC,1,CHILD LIFE SPEC,1,claude
CHILD LIFE SPECIALIST I,CHILD LIFE SPECIALIST II,promotion,medium,3,0.188,2011,2011,2010,CHILD LIFE SPECIALIST,1,CHILD LIFE SPECIALIST,2,claude
CHILD LIFE SPECIALIST III,CHILD LIFE SPEC 3,rename,high,3,1.0,2012,2011,2012,CHILD LIFE SPECIALIST,3,CHILD LIFE SPEC,3,claude
CHILD LIFE TEACHER 1,CHILD LIFE TEACHER 2,rename,high,3,1.0,2014|2018|2019,2018,2012,CHILD LIFE TEACHER,1,CHILD LIFE TEACHER,2,claude
CLIN APPLICATIONS PROFL 3 GF,CLIN APPLICATIONS PROFL 3,variant,high,3,0.158,2016|2024,2025,2015,CLIN APPLICATIONS PROFL,3,CLIN APPLICATIONS PROFL,3,claude
CLIN IMAGING IT SPEC 4,CLIN IMG IT SPEC 4,rename,high,3,1.0,2016,2015,2016,CLIN IMAGING IT SPEC,4,CLIN IMG IT SPEC,4,claude
CLIN IMG IT SPEC 2,CLIN IMG IT SPEC 3,promotion,high,3,0.3,2017|2021,2025,2016,CLIN IMG IT SPEC,2,CLIN IMG IT SPEC,3,claude
CLIN INFORMATICS SPEC 2,CLIN INFORMATICS SPEC 3,promotion,high,3,0.375,2019|2021,2025,2015,CLIN INFORMATICS SPEC,2,CLIN INFORMATICS SPEC,3,claude
CLIN LAB SCI SUPV,CLIN LAB SCI SUPV NEX,variant,high,3,0.5,2013|2014,2018,2012,CLIN LAB SCI SUPV,1,CLIN LAB SCI SUPV,1,claude
CLIN RSCH SUPV,CLIN RSCH SUPV 2,promotion,high,3,0.375,2017,2018,2016,CLIN RSCH SUPV,1,CLIN RSCH SUPV,2,claude
CLINIC OPERATIONS SUPERVISOR 1,CLINIC OPS SUPV 1,rename,high,3,1.0,2012,2011,2012,CLINIC OPERATIONS SUPERVISOR,1,CLINIC OPS SUPV,1,claude
CLINICAL RESEARCH SUPERVISOR,CLIN RSCH SUPV,rename,high,3,0.75,2012,2011,2012,CLINICAL RESEARCH SUPERVISOR,1,CLIN RSCH SUPV,1,claude
CMPTL AND DATA SCI RSCH SPEC 4,CMPTL AND DATA SCI RSCH SPEC 5,promotion,medium,3,0.036,2021|2023|2024,2025,2015,CMPTL AND DATA SCI RSCH SPEC,4,CMPTL AND DATA SCI RSCH SPEC,5,claude
CMTY EDUC SPEC 1,CMTY EDUC SPEC 3,promotion,medium,3,0.012,2022|2025,2025,2014,CMTY EDUC SPEC,1,CMTY EDUC SPEC,3,claude
CMTY HEALTH OUTR PROFL 3,CMTY HEALTH OUTR PROFL 4,promotion,medium,3,0.111,2022|2023|2025,2025,2019,CMTY HEALTH OUTR PROFL,3,CMTY HEALTH OUTR PROFL,4,claude
CNSLNG ATTORNEY,STDT LEGAL SVC ADVISOR 3,rename,high,3,0.75,2021,2020,2013,CNSLNG ATTORNEY,1,STDT LEGAL SVC ADVISOR,3,claude
CNSLNG PSYCH INTERN EX,INTERN-CLIN PSYCH-GENL CAMP,rename,medium,3,0.429,2018,2017,2017,CNSLNG PSYCH INTERN,1,INTERN-CLIN PSYCH-GENL CAMP,1,claude
COMM & NETWORK TECH ANALYST 5,COMM AND NETWORK TCHL ANL 5,rename,high,3,1.0,2012,2011,2012,COMM & NETWORK TECH ANALYST,5,COMM AND NETWORK TCHL ANL,5,claude
COMM & NETWORK TECH MANAGER 1,COMM AND NETWORK TCHL MGR 1,rename,high,3,1.0,2012,2011,2012,COMM & NETWORK TECH MANAGER,1,COMM AND NETWORK TCHL MGR,1,claude
COMM AND NETWORK TCHL ANL 2,COMM AND NETWORK TCHL ANL 3 TX,promotion,medium,3,0.045,2025,2025,2025,COMM AND NETWORK TCHL ANL,2,COMM AND NETWORK TCHL ANL,3,claude
COMM AND NETWORK TCHL ANL 4,COMM AND NETWORK TCHL ANL 5 TX,promotion,medium,3,0.025,2025,2025,2025,COMM AND NETWORK TCHL ANL,4,COMM AND NETWORK TCHL ANL,5,claude
COMM AND NETWORK TCHL MGR 1,COMM AND NETWORK TCHL MGR 2,promotion,high,3,0.333,2021|2022|2024,2025,2015,COMM AND NETWORK TCHL MGR,1,COMM AND NETWORK TCHL MGR,2,claude
COMPENSATION ANALYST 3,COMPENSATION ANL 3,rename,high,3,1.0,2012,2011,2012,COMPENSATION ANALYST,3,COMPENSATION ANL,3,claude
COMPENSATION ANALYST 4,COMPENSATION ANL 4,rename,high,3,0.75,2012,2011,2012,COMPENSATION ANALYST,4,COMPENSATION ANL,4,claude
COMPUTER NETWORK TCHNO 3,COMPUTER NETWORK TCHNO 5,promotion,medium,3,0.039,2014|2015|2016,2019,2012,COMPUTER NETWORK TCHNO,3,COMPUTER NETWORK TCHNO,5,claude
COMPUTER OPR SR,INFO SYS ANL 2,rename,high,3,0.5,2025,2024,2012,COMPUTER OPR,2,INFO SYS ANL,2,claude
CONST INSP 3,CONST INSP 4,promotion,high,3,0.6,2018|2021,2025,2012,CONST INSP,3,CONST INSP,4,claude
CONSTANT OBSERVER PLA,HOSP AST PD,rename,high,3,1.0,2025,2024,2012,CONSTANT OBSERVER,1,HOSP,0,claude
CONTRACT ADMINISTRATOR 4,CONTRACT ADM 4,rename,high,3,1.0,2012,2011,2012,CONTRACT ADMINISTRATOR,4,CONTRACT ADM,4,claude
CONTRACT ADMINISTRATOR 5,CONTRACT ADM 5,rename,high,3,1.0,2012,2011,2012,CONTRACT ADMINISTRATOR,5,CONTRACT ADM,5,claude
CONTRACTS AND GRANTS MANAGER 2,CONTRACTS AND GRANTS MGR 2,rename,high,3,1.0,2012,2011,2012,CONTRACTS AND GRANTS MANAGER,2,CONTRACTS AND GRANTS MGR,2,claude
CONTRACTS AND GRANTS SUPV 1 GF,CONTRACTS AND GRANTS SUPV 2 GF,rename,high,3,0.75,2018|2019,2018,2016,CONTRACTS AND GRANTS SUPV,1,CONTRACTS AND GRANTS SUPV,2,claude
COOK AST,COOK PRN,promotion,medium,3,0.021,2015|2019|2020,2025,2012,COOK,0,COOK,3,claude
"COOK, ASSISTANT, MC",MED CTR COOK AST,rename,high,3,0.75,2012,2011,2012,"COOK, ASSISTANT, MC",1,MED CTR COOK,0,claude
"COOK, MARINE, SR",MARINE COOK SR,rename,high,3,0.5,2012,2011,2012,"COOK, MARINE",2,MARINE COOK,2,claude
COOP EXT ADVISOR,COOP EXT ADVISOR NEX,variant,high,3,0.048,2016|2017,2025,2016,COOP EXT ADVISOR,3,COOP EXT ADVISOR,3,claude
COORD OF PUBLIC PROGRAMS III,COORD PUBLIC PROG III,rename,high,3,1.0,2012,2011,2012,COORD OF PUBLIC PROGRAMS,3,COORD PUBLIC PROG,3,claude
COORD PUBLIC PROG VI,COORD PUBLIC PROG VI NON REP,variant,high,3,0.15,2020,2019,2020,COORD PUBLIC PROG,6,COORD PUBLIC PROG,6,claude
COORD PUBLIC PROG VII NON REP,COORD PUB PROG NON REP,rename,high,3,0.5,2021,2020,2021,COORD PUBLIC PROG,7,COORD PUB PROG,1,claude
"COORDINATOR, SURGICAL",SURGICAL CRD,rename,high,3,0.75,2012,2011,2012,"COORDINATOR, SURGICAL",1,SURGICAL CRD,1,claude
COUNSEL,COUNSEL 4,promotion,high,3,0.2,2017|2021,2020,2013,COUNSEL,1,COUNSEL,4,claude
COUNSEL 1,COUNSEL 2,promotion,high,3,0.75,2021|2022,2025,2014,COUNSEL,1,COUNSEL,2,claude
COUNSEL PRN,COUNSEL 4,promotion,high,3,0.5,2013|2015,2017,2013,COUNSEL,3,COUNSEL,4,claude
COUNSELING 1 EX,CNSLNG PSYCHOLOGIST 3,rename,medium,3,0.25,2017,2016,2017,COUNSELING,1,CNSLNG PSYCHOLOGIST,3,claude
COUNSELING ATTORNEY,STDT LEGAL SVC ADVISOR 3,rename,medium,3,0.375,2017,2016,2013,COUNSELING ATTORNEY,1,STDT LEGAL SVC ADVISOR,3,claude
COUNSELING PSYCHOLOGIST 1 NEX,COUNSELING PSYCHOLOGIST 2,promotion,high,3,0.231,2014|2015,2015,2010,COUNSELING PSYCHOLOGIST,1,COUNSELING PSYCHOLOGIST,2,claude
COUNSELING PSYCHOLOGIST 2,COUNSELING PSYCHOLOGIST 4,promotion,medium,3,0.023,2014|2016,2016,2010,COUNSELING PSYCHOLOGIST,2,COUNSELING PSYCHOLOGIST,4,claude
"COUNSELOR, GENETIC III-SUPV",GENETIC CNSLR 3 SUPV,rename,high,3,1.0,2012,2011,2012,"COUNSELOR, GENETIC III-SUPV",1,GENETIC CNSLR SUPV,3,claude
"CREWMEMBER, FLOATING LAB",FLOATING LAB CREWMEMBER,rename,high,3,0.75,2012,2011,2012,"CREWMEMBER, FLOATING LAB",1,FLOATING LAB CREWMEMBER,1,claude
CT TCHNO,CT TCHNO PD,variant,high,3,0.037,2022|2023|2025,2025,2012,CT TCHNO,1,CT TCHNO,1,claude
CTRL STERILE SUPV 1,CTRL STERILE SUPV 2,promotion,high,3,0.333,2023|2024|2025,2025,2017,CTRL STERILE SUPV,1,CTRL STERILE SUPV,2,claude
CURATORIAL MANAGER 1,CURATORIAL MGR 1,rename,high,3,1.0,2012,2011,2012,CURATORIAL MANAGER,1,CURATORIAL MGR,1,claude
CURRICULUM PLNR 3,CURRICULUM PLNR 4,promotion,medium,3,0.055,2023|2024|2025,2025,2016,CURRICULUM PLNR,3,CURRICULUM PLNR,4,claude
CUSTODIAN SR SUPV NEX,CUSTODIAL SUPV 1,rename,high,3,0.6,2021,2020,2012,CUSTODIAN SR SUPV,1,CUSTODIAL SUPV,1,claude
CUSTOMER SVC MGR 1,CUSTOMER SVC MGR 2,promotion,high,3,0.6,2020|2024,2025,2014,CUSTOMER SVC MGR,1,CUSTOMER SVC MGR,2,claude
CYTO TCHNO,CYTO TCHNO SR PD,promotion,high,3,0.25,2022,2025,2012,CYTO TCHNO,1,CYTO TCHNO,2,claude
"CYTOTECHNOLOGIST, SUPERVISING",CYTO TCHNO SUPV,rename,high,3,1.0,2012,2011,2012,"CYTOTECHNOLOGIST, SUPERVISING",1,CYTO TCHNO SUPV,1,claude
DATABASE ADM 4,DATABASE ADM 5,promotion,high,3,0.333,2015|2017|2024,2025,2012,DATABASE ADM,4,DATABASE ADM,5,claude
DECISION SUPP SPEC 3 GF,DECISION SUPP SPEC 4,promotion,high,3,1.0,2019|2022|2024,2025,2017,DECISION SUPP SPEC,3,DECISION SUPP SPEC,4,claude
DIETITIAN I,DIETITIAN 1,lateral,medium,3,0.143,2012,2011,2012,DIETITIAN,1,DIETITIAN,1,claude
DIGITAL COMM MGR 1,DIGITAL COMM MGR 2,promotion,high,3,0.3,2023|2024,2025,2016,DIGITAL COMM MGR,1,DIGITAL COMM MGR,2,claude
DIRECTOR I,DIRECTOR II,promotion,high,3,0.5,2023|2025,2025,2018,DIRECTOR,1,DIRECTOR,2,claude
DIRECTOR OF EAP STUDY CENTER,DIRECTOR-EAP STUDY CENTER,rename,high,3,0.5,2012,2011,2012,DIRECTOR OF EAP STUDY CENTER,1,DIRECTOR-EAP STUDY CENTER,1,claude
DIV EQUITY INCL MGR 1,ACCESS AND ENGMT MGR 1,rename,high,3,1.0,2024,2023,2024,DIV EQUITY INCL MGR,1,ACCESS AND ENGMT MGR,1,claude
DIV EQUITY INCL MGR 2,ACCESS AND ENGMT MGR 2,rename,high,3,1.0,2024,2023,2024,DIV EQUITY INCL MGR,2,ACCESS AND ENGMT MGR,2,claude
EARLY CHILDHOOD EDUCATN SUPR 2,EARLY CHILDHOOD EDUC SUPV 2,rename,high,3,1.0,2012,2011,2012,EARLY CHILDHOOD EDUCATN SUPR,2,EARLY CHILDHOOD EDUC SUPV,2,claude
ECHOCARDIOGRAPHIC TCHN,ECHOCARDIOGRAPHIC TCHN SR,promotion,high,3,0.75,2022|2024|2025,2025,2012,ECHOCARDIOGRAPHIC TCHN,1,ECHOCARDIOGRAPHIC TCHN,2,claude
EDITOR AST,EDITOR,promotion,high,3,0.5,2014,2025,2010,EDITOR,0,EDITOR,1,claude
"EDITOR, ASST",EDITOR,promotion,high,3,0.231,2011|2012,2011,2010,EDITOR,0,EDITOR,1,claude
"EDITOR, PRINCIPAL - SUPERVISOR",EDITOR PRN SUPV,rename,high,3,1.0,2012,2011,2012,"EDITOR, PRINCIPAL - SUPERVISOR",1,EDITOR PRN SUPV,1,claude
EDUC FAC PLNR SR,FAC PROJECT MGT SPEC 4,rename,medium,3,0.273,2017|2021,2020,2012,EDUC FAC PLNR,2,FAC PROJECT MGT SPEC,4,claude
EDUC TCHL SPEC 3,EDUC TCHL SPEC 4,promotion,medium,3,0.037,2021|2022,2024,2016,EDUC TCHL SPEC,3,EDUC TCHL SPEC,4,claude
EH&S MANAGER 1,EHS MGR 1,rename,high,3,1.0,2012,2011,2012,EH&S MANAGER,1,EHS MGR,1,claude
EH&S SPECIALIST SUPERVISOR,EHS SPEC SUPV,rename,high,3,1.0,2012,2011,2012,EH&S SPECIALIST SUPERVISOR,1,EHS SPEC SUPV,1,claude
EH&S SUPERVISOR 2,EHS SUPV 2,rename,high,3,1.0,2012,2011,2012,EH&S SUPERVISOR,2,EHS SUPV,2,claude
EHS SPEC 2 EX,EHS SPEC PRN,promotion,medium,3,0.017,2016|2017,2023,2012,EHS SPEC,2,EHS SPEC,3,claude
EHS SPEC AST,EHS SPEC 2 NEX,promotion,medium,3,0.115,2017,2018,2012,EHS SPEC,0,EHS SPEC,2,claude
ELECTR COMM MGR 1,DIGITAL COMM MGR 1,rename,high,3,1.0,2013,2012,2013,ELECTR COMM MGR,1,DIGITAL COMM MGR,1,claude
ELECTRICIAN LEADWORKER,ELECTRN WORKER LD,rename,high,3,1.0,2012,2011,2012,ELECTRICIAN LEADWORKER,1,ELECTRN WORKER,3,claude
ELECTRN SUPV,SKLD CRAFTS TRADES SUPV 1,rename,high,3,0.6,2021,2020,2020,ELECTRN SUPV,1,SKLD CRAFTS TRADES SUPV,1,claude
ELECTRONIC COMMUNICATION MGR 1,ELECTR COMM MGR 1,rename,high,3,1.0,2012,2011,2012,ELECTRONIC COMMUNICATION MGR,1,ELECTR COMM MGR,1,claude
EMERGENCY MED TCHN PD,EMERGENCY MED TCHN SR,promotion,high,3,0.5,2014|2018,2022,2012,EMERGENCY MED TCHN,1,EMERGENCY MED TCHN,2,claude
EMPLOYMENT OFFICER,EMPLOYMENT OFCR,rename,high,3,1.0,2012,2011,2012,EMPLOYMENT OFFICER,1,EMPLOYMENT OFCR,1,claude
EMPLOYMENT REPR 4,EMPLOYMENT REPR 5,promotion,medium,3,0.167,2015|2022|2023,2025,2013,EMPLOYMENT REPR,4,EMPLOYMENT REPR,5,claude
EMPLOYMENT REPRESENTATIVE 4,EMPLOYMENT REPR 4,rename,high,3,0.75,2012,2011,2012,EMPLOYMENT REPRESENTATIVE,4,EMPLOYMENT REPR,4,claude
"ENGINEER, ASST, SECOND",SECOND ENGR AST,rename,high,3,0.5,2012,2011,2012,"ENGINEER, ASST, SECOND",1,SECOND ENGR,0,claude
ENGR CHF SR,CHF ENGR MGR 1,rename,high,3,0.75,2017,2016,2017,ENGR CHF,2,CHF ENGR MGR,1,claude
ENGR SR,ENGR PRN,promotion,high,3,0.2,2015|2016,2020,2012,ENGR,2,ENGR,3,claude
ENTERPRISE RISK MGMT ANALYST 3,ENTERPRISE RISK MGT ANL 3,rename,high,3,0.6,2012,2011,2012,ENTERPRISE RISK MGMT ANALYST,3,ENTERPRISE RISK MGT ANL,3,claude
ENTERPRISE RISK MGT ANL 4,ENTERPRISE RISK MGT ANL 5,promotion,medium,3,0.176,2022|2024,2025,2012,ENTERPRISE RISK MGT ANL,4,ENTERPRISE RISK MGT ANL,5,claude
"ENVIRON SERV WORKER II, MC",MED CTR ENVIR SVC WORKER 2,rename,high,3,1.0,2012,2011,2012,"ENVIRON SERV WORKER, MC",2,MED CTR ENVIR SVC WORKER,2,claude
ETHICS AND CMPLNC PROFL 3,ETHICS AND CMPLNC PROFL 5,promotion,medium,3,0.086,2021|2022|2025,2025,2016,ETHICS AND CMPLNC PROFL,3,ETHICS AND CMPLNC PROFL,5,claude
EVENTS MGR 1,EVENTS MGR 2,promotion,high,3,0.6,2020|2022|2024,2025,2017,EVENTS MGR,1,EVENTS MGR,2,claude
EVENTS SPEC 1,EVENTS SPEC 3,promotion,medium,3,0.088,2014|2023,2025,2012,EVENTS SPEC,1,EVENTS SPEC,3,claude
EVENTS SPEC 4 GF,EVENTS SPEC 5,rename,high,3,1.0,2018|2022,2021,2012,EVENTS SPEC,4,EVENTS SPEC,5,claude
EVENTS SPECIALIST 2,EVENTS SPECIALIST 3,promotion,medium,3,0.12,2011,2011,2010,EVENTS SPECIALIST,2,EVENTS SPECIALIST,3,claude
EVENTS SUPERVISOR 1,EVENTS SUPV 1,rename,high,3,0.6,2012,2011,2012,EVENTS SUPERVISOR,1,EVENTS SUPV,1,claude
EXEC ASSISTANT (FUNCT AREA),EXEC AST,rename,high,3,0.6,2012,2011,2012,EXEC ASSISTANT (FUNCT AREA),1,EXEC,0,claude
EXEC AST 3,EXEC AST 5,promotion,medium,3,0.006,2018|2022|2025,2025,2012,EXEC AST,3,EXEC AST,5,claude
EXEC AST 3 CX,EXEC AST 3,variant,high,3,0.176,2025,2025,2012,EXEC AST,3,EXEC AST,3,claude
EXEC DEAN FUNC AREA,DEAN UNIV EXT,rename,high,3,0.75,2013|2014,2013,2013,EXEC DEAN FUNC AREA,1,DEAN UNIV EXT,1,claude
EXTERNAL REL SPEC 1,ALUMNI EXTERNAL REL SPEC 1,rename,high,3,0.5,2016,2015,2016,EXTERNAL REL SPEC,1,ALUMNI EXTERNAL REL SPEC,1,claude
EXTERNAL REL SPEC 2,EXTERNAL REL SPEC 3,promotion,medium,3,0.088,2014|2015,2015,2012,EXTERNAL REL SPEC,2,EXTERNAL REL SPEC,3,claude
EXTERNAL REL SUPV 1,ALUMNI EXTERNAL REL SUPV 1,rename,high,3,1.0,2016,2015,2016,EXTERNAL REL SUPV,1,ALUMNI EXTERNAL REL SUPV,1,claude
EXTERNAL RELATIONS MANAGER 2,EXTERNAL REL MGR 2,rename,high,3,1.0,2012,2011,2012,EXTERNAL RELATIONS MANAGER,2,EXTERNAL REL MGR,2,claude
EXTERNAL RELATIONS SUPR 2,EXTERNAL REL SUPV 2,rename,high,3,1.0,2012,2011,2012,EXTERNAL RELATIONS SUPR,2,EXTERNAL REL SUPV,2,claude
FAC MAINT SUPV,FAC MGT SPEC 2,rename,high,3,0.75,2020|2021,2020,2012,FAC MAINT SUPV,1,FAC MGT SPEC,2,claude
FAC MGT SPEC 1 CX,FAC MGT SPEC 2 CX,promotion,high,3,0.6,2024|2025,2025,2023,FAC MGT SPEC,1,FAC MGT SPEC,2,claude
FAC MGT SPEC 3 CX,FAC MGT SPEC 3,variant,high,3,0.188,2024,2025,2012,FAC MGT SPEC,3,FAC MGT SPEC,3,claude
FAC MGT SPEC 3 CX,FAC MGT SPEC 4,promotion,medium,3,0.188,2024,2025,2012,FAC MGT SPEC,3,FAC MGT SPEC,4,claude
FAC MGT SPEC 4,FAC MGT SPEC 5,promotion,medium,3,0.041,2015|2022|2025,2025,2013,FAC MGT SPEC,4,FAC MGT SPEC,5,claude
FAC MGT SPEC 4 GF,FAC MGT SPEC 4,variant,high,3,1.0,2023,2022,2012,FAC MGT SPEC,4,FAC MGT SPEC,4,claude
FAC PROJECT MGR 4,FAC PROJECT MGR 4 HC,variant,high,3,0.75,2022|2024|2025,2025,2022,FAC PROJECT MGR,4,FAC PROJECT MGR,4,claude
FAC PROJECT MGT SPEC 2 HC,FAC PROJECT MGT SPEC 3 HC,promotion,high,3,0.75,2024|2025,2025,2022,FAC PROJECT MGT SPEC,2,FAC PROJECT MGT SPEC,3,claude
FAC PROJECT MGT SPEC 3,FAC PROJECT MGT SPEC 4 HC,promotion,medium,3,0.025,2023|2024|2025,2025,2022,FAC PROJECT MGT SPEC,3,FAC PROJECT MGT SPEC,4,claude
FACILITIES MAINTENANCE SUPVR,FAC MAINT SUPV,rename,high,3,0.75,2012,2011,2012,FACILITIES MAINTENANCE SUPVR,1,FAC MAINT SUPV,1,claude
FACILITIES MANAGER 1,FAC MGR 1,rename,high,3,1.0,2012,2011,2012,FACILITIES MANAGER,1,FAC MGR,1,claude
FACULTY ASST TO T/VICE CHANC,FACULTY ASST TO VICE CHANC,rename,medium,3,0.375,2012,2011,2012,FACULTY ASST TO T/VICE CHANC,1,FACULTY ASST TO VICE CHANC,1,claude
FACULTY ASST TO VICE CHANC,PROF-AY,rename,medium,3,0.3,2019,2018,2012,FACULTY ASST TO VICE CHANC,1,PROF-AY,3,claude
FACULTY ASST TO VICE CHANC,PROF-AY-B/E/E,rename,medium,3,0.3,2014|2017|2019,2018,2012,FACULTY ASST TO VICE CHANC,1,PROF-AY-B/E/E,3,claude
FIELD RESEARCH MANAGER 1,FIELD RSCH MGR 1,rename,high,3,1.0,2012,2011,2012,FIELD RESEARCH MANAGER,1,FIELD RSCH MGR,1,claude
FIELD RESEARCHER 3,FIELD RESEARCHER 4,promotion,medium,3,0.081,2022|2023|2024,2025,2010,FIELD RESEARCHER,3,FIELD RESEARCHER,4,claude
FIN ANL AST,FIN ANL SR,promotion,medium,3,0.086,2014|2016|2019,2020,2012,FIN ANL,0,FIN ANL,2,claude
FIN ANL PRN 2,FINANCIAL ANL 4,rename,medium,3,0.429,2020|2021,2020,2012,FIN ANL PRN,2,FINANCIAL ANL,4,claude
FINANCIAL AID OFCR 2,FINANCIAL AID OFCR 4,promotion,medium,3,0.032,2017|2019|2020,2025,2012,FINANCIAL AID OFCR,2,FINANCIAL AID OFCR,4,claude
FINANCIAL AID OFFICER 2,FINANCIAL AID OFCR 2,rename,high,3,0.5,2012,2011,2012,FINANCIAL AID OFFICER,2,FINANCIAL AID OFCR,2,claude
FINANCIAL ANALYST 2,FINANCIAL ANALYST 3,promotion,medium,3,0.12,2011,2011,2010,FINANCIAL ANALYST,2,FINANCIAL ANALYST,3,claude
FINANCIAL ANL 3,FINANCIAL ANL 5,promotion,medium,3,0.004,2019|2020|2023,2025,2012,FINANCIAL ANL,3,FINANCIAL ANL,5,claude
